epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,283.792,1.1561,0.71566,0.87163,0.98127,0.96043,0.99442,0.64051,1.22129,0.63392,0.89602,0.000349331,0.000349331,0.000349331
84,286.372,1.13565,0.69832,0.88151,0.98028,0.96268,0.995,0.64427,1.20578,0.6318,0.89229,0.00034642,0.00034642,0.00034642
85,288.862,1.14127,0.70548,0.87228,0.9778,0.97142,0.995,0.62795,1.22017,0.62843,0.89542,0.00034351,0.00034351,0.00034351
86,291.44,1.18081,0.72438,0.87954,0.97472,0.97575,0.995,0.63437,1.21915,0.63324,0.89852,0.000340599,0.000340599,0.000340599
87,295.891,1.16108,0.70849,0.87828,0.97601,0.98301,0.995,0.64417,1.21039,0.62511,0.89303,0.000337688,0.000337688,0.000337688
88,299.797,1.11843,0.68899,0.88591,0.98202,0.98301,0.995,0.64131,1.20193,0.62645,0.89101,0.000334778,0.000334778,0.000334778
89,302.347,1.13773,0.6997,0.87713,0.98546,0.98147,0.99442,0.63884,1.18549,0.62624,0.88828,0.000331867,0.000331867,0.000331867
90,304.919,1.12324,0.68123,0.87684,0.98423,0.97878,0.995,0.64035,1.21355,0.62211,0.89264,0.000328957,0.000328957,0.000328957
91,307.525,1.12129,0.7026,0.86867,0.98327,0.97806,0.99442,0.65291,1.17658,0.60717,0.88789,0.000326046,0.000326046,0.000326046
92,310.73,1.15351,0.71893,0.88606,0.97951,0.98185,0.99393,0.6359,1.19472,0.61767,0.89195,0.000323135,0.000323135,0.000323135
93,314.951,1.15688,0.7241,0.88408,0.97819,0.98422,0.99393,0.63309,1.19109,0.61739,0.89309,0.000320225,0.000320225,0.000320225
94,318.785,1.12346,0.6945,0.88147,0.97633,0.98443,0.995,0.64089,1.20277,0.62249,0.89336,0.000317314,0.000317314,0.000317314
95,321.224,1.10923,0.67416,0.87946,0.97808,0.98138,0.995,0.63749,1.19534,0.61922,0.88856,0.000314404,0.000314404,0.000314404
96,323.857,1.16089,0.70946,0.88143,0.98001,0.98099,0.995,0.64368,1.19148,0.62697,0.88807,0.000311493,0.000311493,0.000311493
97,326.36,1.12001,0.68191,0.88794,0.98029,0.98275,0.995,0.64865,1.18438,0.62913,0.88636,0.000308582,0.000308582,0.000308582
98,329.945,1.10625,0.6694,0.86898,0.97273,0.98648,0.995,0.6422,1.18216,0.61237,0.88606,0.000305672,0.000305672,0.000305672
99,334.823,1.11056,0.68743,0.87941,0.97933,0.982,0.995,0.64009,1.2256,0.62337,0.89392,0.000302761,0.000302761,0.000302761
100,339.222,1.07631,0.66376,0.87193,0.97804,0.97466,0.995,0.64422,1.19492,0.61685,0.88629,0.000299851,0.000299851,0.000299851
101,343.003,1.08289,0.66697,0.8752,0.97588,0.98204,0.995,0.64309,1.18648,0.61915,0.88398,0.00029694,0.00029694,0.00029694
102,346.057,1.13375,0.70953,0.88484,0.9808,0.97747,0.995,0.64309,1.21483,0.6164,0.88968,0.000294029,0.000294029,0.000294029
103,350.424,1.12011,0.66993,0.87327,0.98247,0.98561,0.995,0.62661,1.22093,0.60222,0.89221,0.000291119,0.000291119,0.000291119
104,354.37,1.1273,0.66839,0.85961,0.98372,0.9818,0.995,0.63898,1.20303,0.60243,0.88868,0.000288208,0.000288208,0.000288208
105,356.789,1.10373,0.68065,0.87953,0.98351,0.98853,0.995,0.64451,1.19953,0.59878,0.88795,0.000285298,0.000285298,0.000285298
106,359.402,1.06334,0.65697,0.87089,0.98341,0.99326,0.995,0.64223,1.18395,0.60238,0.88738,0.000282387,0.000282387,0.000282387
107,361.888,1.08686,0.68701,0.88214,0.98425,0.99511,0.995,0.64329,1.17036,0.58868,0.88674,0.000279476,0.000279476,0.000279476
108,365.149,1.09179,0.68886,0.86813,0.98613,0.99224,0.995,0.63133,1.24209,0.59327,0.89801,0.000276566,0.000276566,0.000276566
109,369.232,1.0989,0.67382,0.87997,0.98502,0.99027,0.995,0.62204,1.29414,0.60589,0.90693,0.000273655,0.000273655,0.000273655
110,373.02,1.06822,0.64061,0.86806,0.981,0.9921,0.995,0.63237,1.26219,0.60723,0.90364,0.000270745,0.000270745,0.000270745
111,375.61,1.11464,0.66292,0.87206,0.98459,0.99128,0.995,0.62071,1.2724,0.61253,0.90611,0.000267834,0.000267834,0.000267834
112,378.366,1.05668,0.6479,0.85622,0.97491,0.99492,0.995,0.63914,1.20437,0.6004,0.89093,0.000264923,0.000264923,0.000264923
113,380.889,1.02766,0.63683,0.86429,0.97338,0.99567,0.995,0.64338,1.18892,0.59924,0.8886,0.000262013,0.000262013,0.000262013
114,384.936,1.11807,0.69229,0.87197,0.97954,0.99144,0.995,0.63178,1.19706,0.60229,0.89132,0.000259102,0.000259102,0.000259102
115,389.605,1.10384,0.66682,0.87272,0.98196,0.99325,0.995,0.63723,1.19277,0.59924,0.88922,0.000256192,0.000256192,0.000256192
116,392.433,1.06723,0.65102,0.86363,0.98346,0.98413,0.995,0.64201,1.17882,0.58388,0.8869,0.000253281,0.000253281,0.000253281
117,394.998,1.06545,0.634,0.87401,0.98438,0.98401,0.995,0.63568,1.19065,0.59098,0.88779,0.00025037,0.00025037,0.00025037
118,397.663,1.06595,0.63805,0.87173,0.98121,0.99242,0.995,0.64094,1.20512,0.59801,0.89087,0.00024746,0.00024746,0.00024746
119,400.701,1.06506,0.65485,0.87581,0.98443,0.99117,0.995,0.64265,1.18555,0.59439,0.8865,0.000244549,0.000244549,0.000244549
120,404.953,1.07091,0.6901,0.88206,0.98618,0.99028,0.995,0.63776,1.20224,0.59773,0.88939,0.000241639,0.000241639,0.000241639
121,408.759,1.06729,0.64954,0.86553,0.9856,0.99015,0.995,0.63388,1.2259,0.60527,0.894,0.000238728,0.000238728,0.000238728
122,411.482,1.09265,0.66836,0.86567,0.98582,0.99211,0.995,0.63127,1.24002,0.59631,0.89658,0.000235817,0.000235817,0.000235817
123,414.153,1.06157,0.63554,0.86969,0.98444,0.99259,0.995,0.63464,1.21903,0.58135,0.89492,0.000232907,0.000232907,0.000232907
124,416.829,1.08777,0.68499,0.87145,0.9818,0.99269,0.995,0.64348,1.17995,0.57422,0.88764,0.000229996,0.000229996,0.000229996
125,420.52,1.0627,0.64151,0.85996,0.98368,0.98704,0.995,0.64339,1.17713,0.57479,0.88659,0.000227086,0.000227086,0.000227086
126,425.366,1.07043,0.64941,0.85669,0.98218,0.98361,0.995,0.64627,1.17163,0.581,0.88216,0.000224175,0.000224175,0.000224175
127,428.409,1.03217,0.63202,0.86545,0.98351,0.98193,0.995,0.64961,1.18692,0.5921,0.88439,0.000221264,0.000221264,0.000221264
128,430.942,1.04631,0.65202,0.86145,0.98635,0.98485,0.995,0.64495,1.20644,0.5856,0.88749,0.000218354,0.000218354,0.000218354
129,433.674,1.05498,0.65013,0.85819,0.98704,0.98706,0.995,0.64541,1.20922,0.5896,0.88804,0.000215443,0.000215443,0.000215443
130,436.577,1.07478,0.63617,0.86105,0.98783,0.99157,0.995,0.64339,1.19341,0.5895,0.88553,0.000212533,0.000212533,0.000212533
131,441.166,1.04907,0.61906,0.86919,0.9837,0.99199,0.995,0.64296,1.17387,0.58213,0.88216,0.000209622,0.000209622,0.000209622
132,444.798,1.04887,0.634,0.86977,0.97278,0.99569,0.995,0.64108,1.1793,0.58812,0.88282,0.000206711,0.000206711,0.000206711
133,447.351,1.05639,0.65522,0.86252,0.97307,0.99495,0.995,0.63865,1.19201,0.57993,0.88316,0.000203801,0.000203801,0.000203801
134,450.031,1.01179,0.61924,0.86473,0.97805,0.99393,0.995,0.64394,1.18212,0.56492,0.88183,0.00020089,0.00020089,0.00020089
